pop,hap.divertity.within
paucaCA,0.564102564102564
paucaCA,0.512820512820513
paucaCA,0.512820512820513
paucaCA,0.512820512820513
paucaCA,0.717948717948718
paucaCA,0.525641025641026
paucaCA,0.858974358974359
paucaCA,0.525641025641026
paucaCA,0
paucaCA,0.5
paucaCA,0.282051282051282
paucaCA,0.67948717948718
paucaCA,0.602564102564103
paucaCA,0.512820512820513
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.653846153846154
paucaCA,0.653846153846154
paucaCA,0.615384615384615
paucaCA,0.602564102564103
paucaCA,0.153846153846154
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0
paucaCA,0.564102564102564
paucaCA,0.384615384615385
paucaCA,0.67948717948718
paucaCA,0.653846153846154
paucaCA,0
paucaCA,0.858974358974359
paucaCA,0.294871794871795
paucaCA,0
paucaCA,0.5
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.717948717948718
paucaCA,0
paucaCA,0.41025641025641
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0.807692307692308
paucaCA,0.641025641025641
paucaCA,0.461538461538462
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.807692307692308
paucaCA,0.5
paucaCA,0.5
paucaCA,0.641025641025641
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.615384615384615
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0.564102564102564
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0.858974358974359
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.641025641025641
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.41025641025641
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.82051282051282
paucaCA,0.692307692307692
paucaCA,0.717948717948718
paucaCA,0.807692307692308
paucaCA,0.782051282051282
paucaCA,0.717948717948718
paucaCA,0.717948717948718
paucaCA,0.82051282051282
paucaCA,0.384615384615385
paucaCA,0.5
paucaCA,0.41025641025641
paucaCA,0.153846153846154
paucaCA,0.67948717948718
paucaCA,0.82051282051282
paucaCA,0
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0.705128205128205
paucaCA,0.41025641025641
paucaCA,0.153846153846154
paucaCA,0.384615384615385
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.756410256410256
paucaCA,0.5
paucaCA,0.153846153846154
paucaCA,0.756410256410256
paucaCA,0.564102564102564
paucaCA,0.5
paucaCA,0.5
paucaCA,0.512820512820513
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.512820512820513
paucaCA,0.641025641025641
paucaCA,0.602564102564103
paucaCA,0.5
paucaCA,0.564102564102564
paucaCA,0.833333333333333
paucaCA,0.564102564102564
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.858974358974359
paucaCA,0
paucaCA,0.41025641025641
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.282051282051282
paucaCA,0.58974358974359
paucaCA,0.294871794871795
paucaCA,0.282051282051282
paucaCA,0
paucaCA,0.423076923076923
paucaCA,0.384615384615385
paucaCA,0.512820512820513
paucaCA,0.512820512820513
paucaCA,0.294871794871795
paucaCA,0.602564102564103
paucaCA,0.564102564102564
paucaCA,0.525641025641026
paucaCA,0.602564102564103
paucaCA,0.5
paucaCA,0.153846153846154
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.564102564102564
paucaCA,0.153846153846154
paucaCA,0.512820512820513
paucaCA,0.58974358974359
paucaCA,0.67948717948718
paucaCA,0.67948717948718
paucaCA,0.5
paucaCA,0.41025641025641
paucaCA,0.5
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.641025641025641
paucaCA,0.282051282051282
paucaCA,0.705128205128205
paucaCA,0.653846153846154
paucaCA,0.653846153846154
paucaCA,0.153846153846154
paucaCA,0.602564102564103
paucaCA,0.653846153846154
paucaCA,0.717948717948718
paucaCA,0.5
paucaCA,0.5
paucaCA,0.538461538461538
paucaCA,0.294871794871795
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.91025641025641
paucaCA,0.67948717948718
paucaCA,0.41025641025641
paucaCA,0.282051282051282
paucaCA,0.41025641025641
paucaCA,0.666666666666667
paucaCA,0.833333333333333
paucaCA,0.807692307692308
paucaCA,0.153846153846154
paucaCA,0.512820512820513
paucaCA,0.692307692307692
paucaCA,0.461538461538462
paucaCA,0.717948717948718
paucaCA,0.692307692307692
paucaCA,0.717948717948718
paucaCA,0.833333333333333
paucaCA,0.461538461538462
paucaCA,0.756410256410256
paucaCA,0.5
paucaCA,0.730769230769231
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.384615384615385
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.5
paucaCA,0.5
paucaCA,0.858974358974359
paucaCA,0.858974358974359
paucaCA,0.602564102564103
paucaCA,0.282051282051282
paucaCA,0.615384615384615
paucaCA,0.564102564102564
paucaCA,0.756410256410256
paucaCA,0.41025641025641
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.641025641025641
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0.564102564102564
paucaCA,0.5
paucaCA,0.756410256410256
paucaCA,0.5
paucaCA,0.641025641025641
paucaCA,0.858974358974359
paucaCA,0.858974358974359
paucaCA,0.769230769230769
paucaCA,0
paucaCA,0.756410256410256
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.41025641025641
paucaCA,0
paucaCA,0.641025641025641
paucaCA,0.538461538461538
paucaCA,0.5
paucaCA,0.5
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.5
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.461538461538462
paucaCA,0.615384615384615
paucaCA,0
paucaCA,0.615384615384615
paucaCA,0.41025641025641
paucaCA,0.769230769230769
paucaCA,0.615384615384615
paucaCA,0.756410256410256
paucaCA,0.5
paucaCA,0.564102564102564
paucaCA,0.153846153846154
paucaCA,0.384615384615385
paucaCA,0.717948717948718
paucaCA,0.756410256410256
paucaCA,0.67948717948718
paucaCA,0.717948717948718
paucaCA,0.461538461538462
paucaCA,0.641025641025641
paucaCA,0
paucaCA,0.564102564102564
paucaCA,0.602564102564103
paucaCA,0.717948717948718
paucaCA,0.564102564102564
paucaCA,0.756410256410256
paucaCA,0.512820512820513
paucaCA,0.641025641025641
paucaCA,0.602564102564103
paucaCA,0.756410256410256
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.602564102564103
paucaCA,0.41025641025641
paucaCA,0.153846153846154
paucaCA,0.756410256410256
paucaCA,0.41025641025641
paucaCA,0.41025641025641
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.5
paucaCA,0.5
paucaCA,0.5
paucaCA,0.602564102564103
paucaCA,0.153846153846154
paucaCA,0.294871794871795
paucaCA,0.294871794871795
paucaCA,0.423076923076923
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.5
paucaCA,0.67948717948718
paucaCA,0.153846153846154
paucaCA,0.807692307692308
paucaCA,0.384615384615385
paucaCA,0.67948717948718
paucaCA,0.807692307692308
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.833333333333333
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.512820512820513
paucaCA,0.512820512820513
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0.833333333333333
paucaCA,0.807692307692308
paucaCA,0.705128205128205
paucaCA,0.512820512820513
paucaCA,0.833333333333333
paucaCA,0.833333333333333
paucaCA,0.807692307692308
paucaCA,0.794871794871795
paucaCA,0.833333333333333
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.564102564102564
paucaCA,0.282051282051282
paucaCA,0.5
paucaCA,0.5
paucaCA,0.602564102564103
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.5
paucaCA,0.5
paucaCA,0.756410256410256
paucaCA,0.833333333333333
paucaCA,0.756410256410256
paucaCA,0.602564102564103
paucaCA,0.653846153846154
paucaCA,0.58974358974359
paucaCA,0.67948717948718
paucaCA,0.67948717948718
paucaCA,0.294871794871795
paucaCA,0.756410256410256
paucaCA,0.833333333333333
paucaCA,0.282051282051282
paucaCA,0.730769230769231
paucaCA,0.153846153846154
paucaCA,0.384615384615385
paucaCA,0.5
paucaCA,0.717948717948718
paucaCA,0.756410256410256
paucaCA,0.384615384615385
paucaCA,0.602564102564103
paucaCA,0.615384615384615
paucaCA,0.41025641025641
paucaCA,0.858974358974359
paucaCA,0.67948717948718
paucaCA,0.58974358974359
paucaCA,0.512820512820513
paucaCA,0.564102564102564
paucaCA,0.282051282051282
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0.461538461538462
paucaCA,0.461538461538462
paucaCA,0.564102564102564
paucaCA,0.5
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0.717948717948718
paucaCA,0.282051282051282
paucaCA,0.41025641025641
paucaCA,0.743589743589744
paucaCA,0.756410256410256
paucaCA,0.858974358974359
paucaCA,0.666666666666667
paucaCA,0.512820512820513
paucaCA,0.782051282051282
paucaCA,0.717948717948718
paucaCA,0.41025641025641
paucaCA,0.641025641025641
paucaCA,0.641025641025641
paucaCA,0.153846153846154
paucaCA,0.525641025641026
paucaCA,0.282051282051282
paucaCA,0.756410256410256
paucaCA,0.833333333333333
paucaCA,0.833333333333333
paucaCA,0.807692307692308
paucaCA,0.461538461538462
paucaCA,0.756410256410256
paucaCA,0.461538461538462
paucaCA,0.564102564102564
paucaCA,0.384615384615385
paucaCA,0.58974358974359
paucaCA,0.730769230769231
paucaCA,0.858974358974359
paucaCA,0.756410256410256
paucaCA,0
paucaCA,0.730769230769231
paucaCA,0
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.282051282051282
paucaCA,0.564102564102564
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0
paucaCA,0.41025641025641
paucaCA,0.41025641025641
paucaCA,0.717948717948718
paucaCA,0.833333333333333
paucaCA,0.756410256410256
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0.756410256410256
paucaCA,0.564102564102564
paucaCA,0.897435897435897
paucaCA,0.384615384615385
paucaCA,0.294871794871795
paucaCA,0.5
paucaCA,0.756410256410256
paucaCA,0.602564102564103
paucaCA,0.858974358974359
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.67948717948718
paucaCA,0.294871794871795
paucaCA,0.461538461538462
paucaCA,0.756410256410256
paucaCA,0.730769230769231
paucaCA,0.756410256410256
paucaCA,0.461538461538462
paucaCA,0.730769230769231
paucaCA,0.5
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0.5
paucaCA,0.653846153846154
paucaCA,0.153846153846154
paucaCA,0.282051282051282
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.717948717948718
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.833333333333333
paucaCA,0
paucaCA,0.5
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.858974358974359
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.564102564102564
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.858974358974359
paucaCA,0.641025641025641
paucaCA,0.461538461538462
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.884615384615385
paucaCA,0.615384615384615
paucaCA,0.615384615384615
paucaCA,0.615384615384615
paucaCA,0.615384615384615
paucaCA,0.82051282051282
paucaCA,0.41025641025641
paucaCA,0.692307692307692
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.461538461538462
paucaCA,0.756410256410256
paucaCA,0.384615384615385
paucaCA,0.833333333333333
paucaCA,0.5
paucaCA,0.602564102564103
paucaCA,0.512820512820513
paucaCA,0.602564102564103
paucaCA,0.5
paucaCA,0
paucaCA,0.653846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.641025641025641
paucaCA,0.153846153846154
paucaCA,0.384615384615385
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.756410256410256
paucaCA,0.5
paucaCA,0.5
paucaCA,0.525641025641026
paucaCA,0.794871794871795
paucaCA,0.67948717948718
paucaCA,0.41025641025641
paucaCA,0.807692307692308
paucaCA,0.756410256410256
paucaCA,0.833333333333333
paucaCA,0.384615384615385
paucaCA,0
paucaCA,0.41025641025641
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.833333333333333
paucaCA,0.833333333333333
paucaCA,0.282051282051282
paucaCA,0.41025641025641
paucaCA,0.41025641025641
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.282051282051282
paucaCA,0.525641025641026
paucaCA,0.82051282051282
paucaCA,0.858974358974359
paucaCA,0.82051282051282
paucaCA,0.858974358974359
paucaCA,0.858974358974359
paucaCA,0.692307692307692
paucaCA,0.666666666666667
paucaCA,0.538461538461538
paucaCA,0.41025641025641
paucaCA,0.41025641025641
paucaCA,0.41025641025641
paucaCA,0.41025641025641
paucaCA,0.41025641025641
paucaCA,0.153846153846154
paucaCA,0.564102564102564
paucaCA,0.153846153846154
paucaCA,0.564102564102564
paucaCA,0.294871794871795
paucaCA,0.653846153846154
paucaCA,0.807692307692308
paucaCA,0.756410256410256
paucaCA,0.602564102564103
paucaCA,0.807692307692308
paucaCA,0.730769230769231
paucaCA,0.5
paucaCA,0.5
paucaCA,0.58974358974359
paucaCA,0.5
paucaCA,0
paucaCA,0.833333333333333
paucaCA,0.5
paucaCA,0.756410256410256
paucaCA,0.5
paucaCA,0.756410256410256
paucaCA,0.833333333333333
paucaCA,0.756410256410256
paucaCA,0.461538461538462
paucaCA,0.641025641025641
paucaCA,0.461538461538462
paucaCA,0.602564102564103
paucaCA,0.82051282051282
paucaCA,0.897435897435897
paucaCA,0.807692307692308
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0.41025641025641
paucaCA,0.538461538461538
paucaCA,0.615384615384615
paucaCA,0.5
paucaCA,0.5
paucaCA,0.5
paucaCA,0.5
paucaCA,0.756410256410256
paucaCA,0.705128205128205
paucaCA,0.512820512820513
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.41025641025641
paucaCA,0.5
paucaCA,0
paucaCA,0.615384615384615
paucaCA,0.782051282051282
paucaCA,0.756410256410256
paucaCA,0.41025641025641
paucaCA,0.833333333333333
paucaCA,0.782051282051282
paucaCA,0.67948717948718
paucaCA,0.5
paucaCA,0.153846153846154
paucaCA,0.564102564102564
paucaCA,0.833333333333333
paucaCA,0.833333333333333
paucaCA,0.512820512820513
paucaCA,0.717948717948718
paucaCA,0.717948717948718
paucaCA,0.769230769230769
paucaCA,0.807692307692308
paucaCA,0.692307692307692
paucaCA,0.807692307692308
paucaCA,0.282051282051282
paucaCA,0.615384615384615
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0
paucaCA,0
paucaCA,0.833333333333333
paucaCA,0.653846153846154
paucaCA,0.538461538461538
paucaCA,0.282051282051282
paucaCA,0.602564102564103
paucaCA,0.807692307692308
paucaCA,0.794871794871795
paucaCA,0.692307692307692
paucaCA,0.756410256410256
paucaCA,0.717948717948718
paucaCA,0.756410256410256
paucaCA,0.717948717948718
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0.564102564102564
paucaCA,0.564102564102564
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.692307692307692
paucaCA,0
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0.525641025641026
paucaCA,0.615384615384615
paucaCA,0.5
paucaCA,0.5
paucaCA,0.5
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.564102564102564
paucaCA,0.564102564102564
paucaCA,0.512820512820513
paucaCA,0.756410256410256
paucaCA,0.5
paucaCA,0.82051282051282
paucaCA,0.807692307692308
paucaCA,0.384615384615385
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0.858974358974359
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.67948717948718
paucaCA,0.41025641025641
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0.653846153846154
paucaCA,0.282051282051282
paucaCA,0
paucaCA,0.282051282051282
paucaCA,0.858974358974359
paucaCA,0.564102564102564
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.641025641025641
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.833333333333333
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.5
paucaCA,0
paucaCA,0.756410256410256
paucaCA,0.512820512820513
paucaCA,0.153846153846154
paucaCA,0.858974358974359
paucaCA,0.858974358974359
paucaCA,0.756410256410256
paucaCA,0.67948717948718
paucaCA,0.858974358974359
paucaCA,0.858974358974359
paucaCA,0.833333333333333
paucaCA,0.833333333333333
paucaCA,0.67948717948718
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.756410256410256
paucaCA,0.564102564102564
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.41025641025641
paucaCA,0
paucaCA,0
paucaCA,0.564102564102564
paucaCA,0.782051282051282
paucaCA,0.602564102564103
paucaCA,0
paucaCA,0.282051282051282
paucaCA,0.153846153846154
paucaCA,0.282051282051282
paucaCA,0.294871794871795
paucaCA,0.67948717948718
paucaCA,0.602564102564103
paucaCA,0.756410256410256
paucaCA,0.512820512820513
paucaCA,0
paucaCA,0
paucaCA,0.384615384615385
paucaCA,0.282051282051282
paucaCA,0
paucaCA,0
paucaCA,0.282051282051282
paucaCA,0
paucaCA,0.602564102564103
paucaCA,0.5
paucaCA,0.153846153846154
paucaCA,0.858974358974359
paucaCA,0.641025641025641
paucaCA,0.282051282051282
paucaCA,0
paucaCA,0.58974358974359
paucaCA,0.282051282051282
paucaCA,0.58974358974359
paucaCA,0
paucaCA,0
paucaCA,0.5
paucaCA,0.5
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0.512820512820513
paucaCA,0.743589743589744
paucaCA,0.602564102564103
paucaCA,0.743589743589744
paucaCA,0.564102564102564
paucaCA,0.512820512820513
paucaCA,0.58974358974359
paucaCA,0.5
paucaCA,0.564102564102564
paucaCA,0
paucaCA,0.282051282051282
paucaCA,0.67948717948718
paucaCA,0.384615384615385
paucaCA,0.602564102564103
paucaCA,0.41025641025641
paucaCA,0.384615384615385
paucaCA,0.384615384615385
paucaCA,0.602564102564103
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.384615384615385
paucaCA,0
paucaCA,0.756410256410256
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.294871794871795
paucaCA,0.512820512820513
paucaCA,0
paucaCA,0
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.564102564102564
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.564102564102564
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.717948717948718
paucaCA,0.564102564102564
paucaCA,0
paucaCA,0.512820512820513
paucaCA,0.512820512820513
paucaCA,0.58974358974359
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.769230769230769
paucaCA,0.153846153846154
paucaCA,0.564102564102564
paucaCA,0.653846153846154
paucaCA,0.756410256410256
paucaCA,0.384615384615385
paucaCA,0.782051282051282
paucaCA,0.756410256410256
paucaCA,0.858974358974359
paucaCA,0.564102564102564
paucaCA,0.756410256410256
paucaCA,0.807692307692308
paucaCA,0.756410256410256
paucaCA,0.858974358974359
paucaCA,0.67948717948718
paucaCA,0.717948717948718
paucaCA,0.67948717948718
paucaCA,0.67948717948718
paucaCA,0.67948717948718
paucaCA,0.833333333333333
paucaCA,0.833333333333333
paucaCA,0.384615384615385
paucaCA,0.705128205128205
paucaCA,0.756410256410256
paucaCA,0.756410256410256
paucaCA,0.615384615384615
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.692307692307692
paucaCA,0.461538461538462
paucaCA,0.756410256410256
paucaCA,0.807692307692308
paucaCA,0
paucaCA,0.692307692307692
paucaCA,0
paucaCA,0
paucaCA,0.461538461538462
paucaCA,0.641025641025641
paucaCA,0.67948717948718
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.602564102564103
paucaCA,0.756410256410256
paucaCA,0.384615384615385
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.602564102564103
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.282051282051282
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.5
paucaCA,0.41025641025641
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.5
paucaCA,0.756410256410256
paucaCA,0.794871794871795
paucaCA,0.602564102564103
paucaCA,0.67948717948718
paucaCA,0.67948717948718
paucaCA,0.602564102564103
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.717948717948718
paucaCA,0.5
paucaCA,0.769230769230769
paucaCA,0.615384615384615
paucaCA,0.82051282051282
paucaCA,0.653846153846154
paucaCA,0.41025641025641
paucaCA,0.41025641025641
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.5
paucaCA,0
paucaCA,0.5
paucaCA,0.564102564102564
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0.5
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0.67948717948718
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.615384615384615
paucaCA,0.858974358974359
paucaCA,0.692307692307692
paucaCA,0.41025641025641
paucaCA,0.153846153846154
paucaCA,0.602564102564103
paucaCA,0.294871794871795
paucaCA,0.756410256410256
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0
